,id,text,query
63,1389483579856408576,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
64,1389483576459022336,"Spicy headshot! #PS4share

https://t.co/dwciikg2zD https://t.co/RmzWVC9MkK",playstation 
65,1389483574865235974,"RT @ApexLegendsWiki: 『プレイステーション』が『ディスコード』とパートナーシップを結んだと発表！！2022年初めからPSNを使ってディスコードが使用可能に

#エーペックスレジェンズ #ApexLegends 

https://t.co/ypP20CWi85",playstation 
66,1389483573737136130,RT @PlayStation: Announcing PlayStation’s new partnership with Discord: https://t.co/W9C8SR7OXx https://t.co/LV4AhwbuBv,playstation 
67,1389483569748267008,RT @PlayStation: Call a meeting – Among Us comes to PS4 and PS5 later this year with exclusive Ratchet &amp; Clank content: https://t.co/NOykrf…,playstation 
68,1389483567672033289,"paris_1 #PS4share

https://t.co/iVa5lzlCb9 https://t.co/43VgxCQ9bI",playstation 
69,1389483567621627906,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
70,1389483567533678593,@onkeljonas23 @PlayStation Hab keine PS4 mehr aber nach 5 Jahren haben die es auch mal hinge kriegt,playstation 
71,1389483565990121475,"RT @gamespark: SIEがPlayStationとDiscord統合の取り組みを発表―2022年初頭を予定
https://t.co/lsejgcFxHJ",playstation 
72,1389483563574173698,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
73,1389483562760560643,RT @Linknight1: https://t.co/PYjREPpwJb https://t.co/Cp4v9bTPWm,playstation 
74,1389483562211053569,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Black Ops 4)  live at https://t.co/yAUxaD0OYh,playstation 
75,1389483560998903808,"RT @ApexLegendsWiki: 『プレイステーション』が『ディスコード』とパートナーシップを結んだと発表！！2022年初めからPSNを使ってディスコードが使用可能に

#エーペックスレジェンズ #ApexLegends 

https://t.co/ypP20CWi85",playstation 
76,1389483560633991173,RT @BananaBreegull: I'm not trying to start a console war here with this; but it bothers me when people jump onto others for preferring Xbo…,playstation 
77,1389483558633365505,"RT @t3n: Playstation geht Partnerschaft mit Discord ein – durch eine Minderheitsbeteiligung.
 https://t.co/js70RlPmgb",playstation 
78,1389483558234824706,"NieR Replicant ver.1.22474487139...
仕事請負人 (シルバー)
クエストを30個以上クリアしました。 #PS4share https://t.co/2V0hFzRIY2 https://t.co/L1BBJFKVS0",playstation 
79,1389483555563220993,@PlayStation Aaaaaaaand it's time for more trashy online class,playstation 
80,1389483552861949954,RT @nanasimu2: PlayStation 4からブロードキャストを始めました！ #PS4live (Fortnite)  live at https://t.co/maPks43zVl,playstation 
81,1389483551486185473,"RT @thefootyarena: If Neymar scores ANYTIME against Manchester City tonight, we'll giveaway a PlayStation 5 console to a lucky fan.

Simply…",playstation 
82,1389483544792031233,"物資必須
 #PS4share

https://t.co/0LCX600EpG https://t.co/Gkm5QobOGV",playstation 
83,1389483542049181698,"RT @VandalOnline: Sony invierte en Discord, que será integrado en PlayStation Network en 2022 https://t.co/qAbUV9NOh6",playstation 
84,1389483540149063682,PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/WQhVjmBTnP,playstation 
85,1389483537263468547,"RT @PlayStation: Explore the breathtaking open world of Genshin Impact, beautifully enhanced for PlayStation 5. Play the adventure for free.",playstation 
86,1389483535325491201,"RT @ApexLegendsWiki: 『プレイステーション』が『ディスコード』とパートナーシップを結んだと発表！！2022年初めからPSNを使ってディスコードが使用可能に

#エーペックスレジェンズ #ApexLegends 

https://t.co/ypP20CWi85",playstation 
87,1389483534977540096,"RT @livedoornews: 【発表】ソニー、Discordとパートナーシップ締結
https://t.co/JKgcqnA60g

DiscordをどのようにPSNに取り込むかは明らかにしなかったが、「来年初頭から、コンソールとモバイルで、DiscordとPlaysta…",playstation 
88,1389483533182279681,"RT @last_hoper_u: キミは見捨てられたんだ・・・
#apex

https://t.co/wtwbCCYn6Q https://t.co/RrJdWeGGUK",playstation 
89,1389483531491938304,PlayStation 4からブロードキャストを始めました！ #PS4live (原神)  live at https://t.co/h9nKGxrsen,playstation 
90,1389483531030593544,"RT @M0RIQN: #PlayStation #PS5 #プレゼント企画

PlayStation 5 結局買って1日もやってないからプレゼント企画します🎁

条件はリツイート　いいね　のみ
フォローいりません！ https://t.co/0GUkBBbhgf",playstation 
91,1389483528279281665,"やっぱり入れますねぇ
#rtypefinal2

https://t.co/EwRPVvToJd https://t.co/hvtiBbxp0U",playstation 
92,1389483527595384833,"RT @AUTOMATONJapan: 【ニュース】SIEがDiscordに出資しパートナーシップを締結。2022年前半に、PlayStationプラットフォームにてDiscordが利用可能に
https://t.co/F2ciItHca8 https://t.co/oZbOL…",playstation 
